1,New Delhi,Tier 1,23000000,1330000,578261,0.74,3.043478947,502
2,Kolkata,Tier 1,22646412,822380,363139,0.43,1.911257895,391
3,Mumbai,Tier 1,20385414,1776094,871257,0.9,4.585563158,546
4,Bengaluru,Tier 1,13261056,1229170,926902,0.56,4.878431579,366
5,Chennai,Tier 1,11192733,1000827,894176,0.35,4.706189474,304
6,Hajipur,Tier 1,219000,25000,736950,2.25,3.878684211,5
7,Hyderabad,Tier 1,9216127,875409,949866,0.28,4.999294737,258
8,Ahmedabad,Tier 1,7667167,735610,959429,0.46,5.049626316,215
9,Surat,Tier 1,6970910,462950,664117,0.9,3.495352632,163
10,Pune,Tier 1,6871873,553465,805406,0.79,4.238978947,177
11,Kozhikode,Tier 1,6185294,111397,180100,1,0.947894737,75
12,Kochi,Tier 1,5152610,172555,334889,1.48,1.762573684,86
13,Lucknow,Tier 1,5087496,170184,334514,0.69,1.7606,84
14,Ghaziabad,Tier 2,4600000,116000,252174,0.74,1.327231579,66
15,Kanpur,Tier 2,4348917,92324,212292,0.44,1.117326316,57
16,Jaipur,Tier 2,4096212,198254,483994,0.6,2.547336842,82
17,Varanasi,Tier 2,3906379,70052,179327,1.23,0.943826316,47
18,Indore,Tier 2,3500688,109562,312973,0.7,1.647226316,56
19,Patna,Tier 2,3335351,121560,364459,0.78,1.918205263,58
20,Nagpur,Tier 2,3268831,244505,747989,0.34,3.936784211,81
21,Kalyan,Tier 2,3192019,124197,389087,0.9,2.047826316,57
22,Kollam,Tier 2,3115931,121237,389087,1.35,2.047826316,56
23,Thiruvananthapuram,Tier 2,2963014,126655,427453,0.57,2.249752632,56
24,Asansol,Tier 2,2944381,114562,389087,0.67,2.047826316,53
25,Tamluk,Tier 2,2913549,113362,389087,0.66,2.047826316,52
26,Agra,Tier 2,2803663,93247,332590,0.61,1.750473684,46
27,Gurugram,Tier 2,2800000,253400,905000,0.74,4.763157895,76
28,Panipat,Tier 2,2700000,1350000,5000000,0.74,26.31578947,173
